class,precision,recall,f1,support
Iron,1.0,0.9347826086956522,0.9662921348314606,138
Aluminum,0.9186991869918699,0.889763779527559,0.904,127
Copper,0.956140350877193,0.9478260869565217,0.9519650655021834,115
Brass,0.9117647058823529,0.8378378378378378,0.8732394366197184,111
Steel,0.9396551724137931,0.8582677165354331,0.8971193415637861,127
Unknown,0.8487394957983193,0.9619047619047619,0.9017857142857143,105
Mixed Target,0.8848920863309353,1.0,0.9389312977099237,123
Ground Noise,0.9661016949152542,1.0,0.9827586206896551,114
